threads,time
8,0.095120
8,0.084561
8,0.084482
8,0.084443
8,0.084387
8,0.083995
8,0.083322
8,0.087076
8,0.084098
8,0.087930
8,0.085053
8,0.084453
8,0.084352
8,0.086519
8,0.087394
8,0.085034
8,0.083873
8,0.085103
8,0.084978
8,0.087805
7,0.090313
7,0.087128
7,0.086104
7,0.086545
7,0.086145
7,0.089823
7,0.086832
7,0.085589
7,0.085966
7,0.086575
7,0.086498
7,0.087873
7,0.087032
7,0.085613
7,0.086104
7,0.086767
7,0.086415
7,0.088861
7,0.086855
7,0.087117
6,0.091820
6,0.088293
6,0.088504
6,0.102800
6,0.099021
6,0.090446
6,0.088209
6,0.090039
6,0.092028
6,0.123836
6,0.109434
6,0.092482
6,0.102611
6,0.092585
6,0.093846
6,0.103772
6,0.117556
6,0.165780
6,0.124278
6,0.154230
5,0.092495
5,0.093781
5,0.094115
5,0.093067
5,0.091008
5,0.093688
5,0.093687
5,0.095168
5,0.093454
5,0.097558
5,0.094723
5,0.095044
5,0.092154
5,0.093621
5,0.096607
5,0.090174
5,0.093420
5,0.093581
5,0.099363
5,0.096767
4,0.095935
4,0.093119
4,0.092530
4,0.111379
4,0.095095
4,0.095157
4,0.092831
4,0.094829
4,0.095423
4,0.094635
4,0.093578
4,0.091647
4,0.092971
4,0.094283
4,0.092891
4,0.094101
4,0.095861
4,0.096488
4,0.094298
4,0.095097
3,0.125505
3,0.120234
3,0.119767
3,0.122747
3,0.120493
3,0.119884
3,0.120380
3,0.131567
3,0.120921
3,0.119280
3,0.119633
3,0.125994
3,0.120178
3,0.123520
3,0.120376
3,0.120242
3,0.120070
3,0.120548
3,0.119577
3,0.119431
2,0.188606
2,0.177919
2,0.178768
2,0.177736
2,0.178547
2,0.178475
2,0.177835
2,0.178919
2,0.177132
2,0.178005
2,0.177276
2,0.178695
2,0.178071
2,0.178036
2,0.178307
2,0.179358
2,0.178214
2,0.177535
2,0.177693
2,0.178784
1,0.358925
1,0.354939
1,0.355100
1,0.355075
1,0.354616
1,0.358388
1,0.356144
1,0.354837
1,0.355883
1,0.351833
1,0.354073
1,0.353153
1,0.353484
1,0.353440
1,0.352462
1,0.352274
1,0.354083
1,0.352146
1,0.352869
1,0.352520
0,0.353503
0,0.353088
0,0.353330
0,0.351657
0,0.352567
0,0.353114
0,0.352990
0,0.353028
0,0.359844
0,0.351360
0,0.351277
0,0.351116
0,0.351750
0,0.358664
0,0.358343
0,0.358327
0,0.355551
0,0.355456
0,0.359027
0,0.358472
-1,0.363757
-1,0.361473
-1,0.356139
-1,0.356084
-1,0.358412
-1,0.357853
-1,0.358411
-1,0.365097
-1,0.357656
-1,0.362881
-1,0.359578
-1,0.375096
-1,0.379214
-1,0.355607
-1,0.358188
-1,0.360266
-1,0.362604
-1,0.360499
-1,0.362037
-1,0.360225
